Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Philadelphia Eagles,4,0,0,1.000,115,71,44,11.0,4.8,15.8,6.7,9.1
Dallas Cowboys,3,1,0,.750,71,62,9,2.3,2.0,4.2,0.0,4.2
New York Giants,3,1,0,.750,76,71,5,1.3,-4.1,-2.9,-3.7,0.8
Washington Commanders,1,3,0,.250,73,107,-34,-8.5,8.4,-0.1,-3.3,3.3
Minnesota Vikings,3,1,0,.750,86,80,6,1.5,4.1,5.6,-2.7,8.3
Green Bay Packers,3,1,0,.750,75,69,6,1.5,1.0,2.5,1.8,0.7
Chicago Bears,2,2,0,.500,64,77,-13,-3.3,-2.9,-6.1,-6.7,0.5
Detroit Lions,1,3,0,.250,140,141,-1,-0.3,3.2,3.0,16.2,-13.3
Tampa Bay Buccaneers,2,2,0,.500,82,68,14,3.5,1.7,5.2,-3.8,9.1
Atlanta Falcons,2,2,0,.500,103,101,2,0.5,-4.5,-4.0,-1.6,-2.5
New Orleans Saints,1,3,0,.250,76,96,-20,-5.0,0.1,-4.9,0.6,-5.5
Carolina Panthers,1,3,0,.250,78,85,-7,-1.8,-4.5,-6.3,-5.5,-0.8
Arizona Cardinals,2,2,0,.500,88,103,-15,-3.8,-3.3,-7.0,-5.4,-1.6
Los Angeles Rams,2,2,0,.500,70,94,-24,-6.0,1.4,-4.6,-0.9,-3.6
Seattle Seahawks,2,2,0,.500,95,115,-20,-5.0,-2.0,-7.0,0.3,-7.3
San Francisco 49ers,2,2,0,.500,71,46,25,6.3,-6.1,0.1,-5.8,6.0
